timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748008496615,59,Launch,200,OK,Thread Group 1-4,text,true,,3993,318,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,28,0,0
1748008496615,28,Launch-0,301,Moved Permanently,Thread Group 1-4,text,true,,698,157,1,1,https://saucedemo.com/?Username=error_user&Password=secret_sauce,28,0,0
1748008496643,31,Launch-1,200,OK,Thread Group 1-4,text,true,,3295,161,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,31,0,0
1748008496675,59,Launch,200,OK,Thread Group 1-4,text,true,,3994,320,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,30,0,0
1748008496675,30,Launch-0,301,Moved Permanently,Thread Group 1-4,text,true,,699,158,1,1,https://saucedemo.com/?Username=visual_user&Password=secret_sauce,30,0,0
1748008496705,29,Launch-1,200,OK,Thread Group 1-4,text,true,,3295,162,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,29,0,0
1748008497103,225,Launch,200,OK,Thread Group 1-5,text,true,,3995,324,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,86,0,62
1748008497103,86,Launch-0,301,Moved Permanently,Thread Group 1-5,text,true,,701,160,1,1,https://saucedemo.com/?Username=standard_user&Password=secret_sauce,86,0,62
1748008497190,138,Launch-1,200,OK,Thread Group 1-5,text,true,,3294,164,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,138,0,66
1748008497329,98,Launch,200,OK,Thread Group 1-5,text,true,,3997,328,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,46,0,0
1748008497329,46,Launch-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,162,1,1,https://saucedemo.com/?Username=locked_out_user&Password=secret_sauce,46,0,0
1748008497375,52,Launch-1,200,OK,Thread Group 1-5,text,true,,3294,166,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,51,0,0
1748008497428,59,Launch,200,OK,Thread Group 1-5,text,true,,3994,322,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,26,0,0
1748008497428,26,Launch-0,301,Moved Permanently,Thread Group 1-5,text,true,,700,159,1,1,https://saucedemo.com/?Username=problem_user&Password=secret_sauce,26,0,0
1748008497455,32,Launch-1,200,OK,Thread Group 1-5,text,true,,3294,163,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,32,0,0
1748008497489,67,Launch,200,OK,Thread Group 1-5,text,true,,4006,344,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,35,0,0
1748008497489,36,Launch-0,301,Moved Permanently,Thread Group 1-5,text,true,,711,170,1,1,https://saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,35,0,0
1748008497525,31,Launch-1,200,OK,Thread Group 1-5,text,true,,3295,174,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,27,0,0
1748008497557,74,Launch,200,OK,Thread Group 1-5,text,true,,3993,318,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,25,0,0
1748008497557,25,Launch-0,301,Moved Permanently,Thread Group 1-5,text,true,,698,157,1,1,https://saucedemo.com/?Username=error_user&Password=secret_sauce,25,0,0
1748008497582,49,Launch-1,200,OK,Thread Group 1-5,text,true,,3295,161,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,48,0,0
1748008497632,82,Launch,200,OK,Thread Group 1-5,text,true,,3994,320,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,51,0,0
1748008497632,51,Launch-0,301,Moved Permanently,Thread Group 1-5,text,true,,699,158,1,1,https://saucedemo.com/?Username=visual_user&Password=secret_sauce,51,0,0
1748008497683,31,Launch-1,200,OK,Thread Group 1-5,text,true,,3295,162,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,28,0,0
1748008498107,210,Launch,200,OK,Thread Group 1-6,text,true,,3996,324,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,108,0,81
1748008498107,108,Launch-0,301,Moved Permanently,Thread Group 1-6,text,true,,701,160,1,1,https://saucedemo.com/?Username=standard_user&Password=secret_sauce,108,0,81
1748008498217,100,Launch-1,200,OK,Thread Group 1-6,text,true,,3295,164,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,99,0,66
1748008498318,80,Launch,200,OK,Thread Group 1-6,text,true,,3998,328,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,27,0,0
1748008498318,27,Launch-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,162,1,1,https://saucedemo.com/?Username=locked_out_user&Password=secret_sauce,27,0,0
1748008498345,53,Launch-1,200,OK,Thread Group 1-6,text,true,,3295,166,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,53,0,0
1748008498399,53,Launch,200,OK,Thread Group 1-6,text,true,,3995,322,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,22,0,0
1748008498399,22,Launch-0,301,Moved Permanently,Thread Group 1-6,text,true,,700,159,1,1,https://saucedemo.com/?Username=problem_user&Password=secret_sauce,22,0,0
1748008498422,30,Launch-1,200,OK,Thread Group 1-6,text,true,,3295,163,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,27,0,0
1748008498454,337,Launch,200,OK,Thread Group 1-6,text,true,,4006,344,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,310,0,0
1748008498454,310,Launch-0,301,Moved Permanently,Thread Group 1-6,text,true,,711,170,1,1,https://saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,310,0,0
1748008498765,26,Launch-1,200,OK,Thread Group 1-6,text,true,,3295,174,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,26,0,0
1748008498793,47,Launch,200,OK,Thread Group 1-6,text,true,,3993,318,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,21,0,0
1748008498793,21,Launch-0,301,Moved Permanently,Thread Group 1-6,text,true,,698,157,1,1,https://saucedemo.com/?Username=error_user&Password=secret_sauce,21,0,0
1748008498815,25,Launch-1,200,OK,Thread Group 1-6,text,true,,3295,161,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,24,0,0
1748008498841,51,Launch,200,OK,Thread Group 1-6,text,true,,3994,320,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,21,0,0
1748008498841,21,Launch-0,301,Moved Permanently,Thread Group 1-6,text,true,,699,158,1,1,https://saucedemo.com/?Username=visual_user&Password=secret_sauce,21,0,0
1748008498862,30,Launch-1,200,OK,Thread Group 1-6,text,true,,3295,162,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,30,0,0
